id;title;description;type;date;source;tools;seeAlso;credits
_carcrashone;Paris car accidents 12/13;Which types of vehicule are involved in accidents for this period?;graph;20/04/15;cars_one.html;python|spark|D3.js;map on same subject,/player/_carcrashtwo|#link,somelink2;thx to @kentenglish for all the chart tips,http://zeroviscosity.com/d3-js-step-by-step/step-3-adding-a-legend
_carcrashtwo;Paris car accidents per rings;Lets have a look the accident distribution in Paris;graph;21/04/15;cars_two.html;python|spark|D3.js;pie on the same subject,/player/_carcrashone|link2,somelink;
_composite;Design pattern move: Composite;;code;23/06/15;;;;
_blank2;a blank demo;X;ml;;;;;
_blank;a blank demo2;X;db;;;;;
